Name,Latitude,Longitude,Nearest_bus_stop_Distance,Nearest_train_station_Distance,Nearest_restaurant_Distance,Nearest_cafe_Distance,Nearest_supermarket_Distance,Nearest_park_Distance,Nearest_hospital_Distance,Nearest_pharmacy_Distance,Nearest_police_station_Distance,Nearest_fire_station_Distance,Nearest_school_Distance,Nearest_university_Distance,Nearest_library_Distance,Nearest_shopping_mall_Distance,Nearest_movie_theater_Distance,Nearest_museum_Distance,Optimality
Jawaharlal Nehru University,28.5398035,77.1664047,2.9,6.3,9.2,27.3,25.7,7.3,22.5,26.5,45.5,28.5,5.8,43.1,13.8,23.7,23.5,14.7,Not Optimal
Banaras Hindu University,25.2677203,82.9912582,1.9,5.6,3.1,7.3,23.2,10.2,4.6,5.4,6.2,6.9,12.4,7.5,9,7.5,10.2,2.1,Not Optimal
University of Hyderabad,17.456737,78.3263876,41.6,6,5,7.8,23.3,21,19.9,22.4,20.1,12,7.6,26.6,25.7,19.3,18.7,21.2,Not Optimal
Calcutta University,22.5750862,88.3629188,2.8,1.9,2.2,6.3,6,13.9,6.2,8.6,44.7,12.2,2.2,7.4,6.4,4.8,7,4.7,Optimal
Jadavpur University,22.4988822,88.3714123,11.8,3.2,8.2,13.6,12,20,13.9,14.1,11.2,3.8,11.5,3.8,6.8,4.8,3.5,7.5,Optimal
Anna University,13.0109556,80.2353524,10.9,3.1,5.4,5.8,11.3,1.3,6.8,4.1,14.3,8.9,6.8,29.2,6.6,4.8,5.2,8.2,Optimal
Arita Vishwa Vidyapeetha,10.9037905,76.8983517,21,54.5,34.7,25.2,35.4,19.4,20,19.8,34.5,19.1,23.5,28.2,26.5,35.4,20.9,27.3,Not Optimal
manipal Acadey of Higher Education,13.3533433,74.7848955,0.7,3.6,0.8,1.4,5.7,43.2,1.1,5.6,6.1,7.1,59.3,1,1.1,0.9,1.2,1.6,Optimal
Savitribai Phule Pune University,18.5529684,73.8265425,7.3,6.8,6.7,8.7,14,16.8,7.1,6.8,8,7.4,2.5,15.3,16.4,2.6,2.2,33,Not Optimal
Aligarh usli University,27.9135016,78.0781901,2.5,3.1,3.1,48.7,1.6,0.4,4.2,26.3,3.3,26.4,43.2,1,0.4,1.5,6.5,0.7,Not Optimal
Jaia illia Islaia,28.5615344,77.280143,6.7,5.8,10.2,25.8,10.7,14.4,33.2,11.5,30.4,14.7,4.5,28.1,10.5,19.1,18.9,7.9,Not Optimal
University of Delhi,28.5842824,77.1638519,3.9,10.2,2.7,21.5,26,12.2,27.2,26.9,45.8,22.3,8.4,43.4,10.1,20.8,20.6,11.9,Not Optimal
Bharathiar University,11.0390221,76.87642,11.4,36.2,58.1,86.2,84,13.1,13.8,12.4,57.9,12.4,22.1,1.9,83.9,58.8,11.2,19.1,Not Optimal
Institute of Cheical Technology,19.0237512,72.8574443,5,9.5,9.7,13.2,11.2,67.8,47,10.2,10.1,9,8.4,48.4,8.3,8.4,4.1,12,Not Optimal
Andhra University,17.7259095,83.3244216,2.1,4.5,2.9,2.4,3.3,3.1,2.4,14.4,11.5,5.2,2.2,0.9,4.4,2.6,1.5,11.3,Optimal
Hoi Bhabha National Institute,19.0338061,72.9260079,9.9,16.5,8.3,25.2,17.4,75.7,46.5,22.4,11.1,7.5,7.6,55.8,12.8,11.4,13.5,24,Not Optimal
Jaia Hadard,28.5154778,77.2504898,3.7,5.4,9.6,30.9,17.7,6.6,26.4,18.6,37.5,19.8,11.3,35.1,15.6,24.2,24,13,Not Optimal
Vellore Institute of Technology,12.9692232,79.1559336,7.3,2.3,7,3,8.9,0.1,15.5,7.9,12.8,8.4,51.1,11.6,13.1,3.7,7.6,8.5,Not Optimal
University of adras,13.0660293,80.2831719,11.5,11.5,5.6,4.8,3.4,9.8,15,5.9,5.6,5.2,15.2,34.2,3.5,7,10.4,3.5,Not Optimal
Panjab University,30.7606188,76.7653924,3.9,36.2,9,30.3,11.5,21.6,2.1,6,5.8,7.7,5.3,0.8,8.8,5.6,5.6,5,Optimal
Kerala University,8.5032375,76.9473306,22.4,41.2,1.4,4,6.5,2.2,20.4,1.5,7.6,35.9,25.6,7.7,4.2,9.3,2.3,20,Not Optimal
Birla Institute of Technology & Science,28.3591259,75.5881638,1,24.9,0.7,0.7,12.5,36.1,3,3,15.6,0.9,3.1,1,16.7,37.2,1.7,0.8,Optimal
Siksha `O` Anusandhan,20.2589969,85.7919803,13.1,52.2,6.7,7.2,1.5,8.2,13.1,10.4,7.5,30.6,48.6,14.6,7.6,6.4,8.1,6.2,Not Optimal
King George`s edical University,26.8677163,80.916626,6.2,2.1,12.4,4.4,4.4,11.8,16.5,6.7,5.4,3.9,4.4,2.9,10.1,9,8.7,4.8,Not Optimal
